fact_id,song_id,title,artist,topic,fact,source
1,1,Sunrise City,Neon Echo,artist_context,"Neon Echo is a fictional synth-pop duo known in this catalog for bright hooks and clean night-drive production.","local fictional catalog notes"
2,1,Sunrise City,Neon Echo,listening_context,"Sunrise City pairs high energy, happy mood, and low acousticness, making it a strong fit for upbeat electronic-pop playlists.","local fictional catalog notes"
3,2,Midnight Coding,LoRoom,artist_context,"LoRoom is a fictional lofi producer in this catalog whose tracks emphasize soft drums, warm keys, and steady focus.","local fictional catalog notes"
4,2,Midnight Coding,LoRoom,listening_context,"Midnight Coding is built for quiet concentration because it combines chill mood, moderate-low energy, and acoustic texture.","local fictional catalog notes"
5,3,Storm Runner,Voltline,artist_context,"Voltline is a fictional rock act in this catalog associated with fast tempos, sharp guitars, and high-intensity arrangements.","local fictional catalog notes"
6,3,Storm Runner,Voltline,listening_context,"Storm Runner is one of the catalog's most intense rock matches because it has very high energy and a driving tempo.","local fictional catalog notes"
7,4,Library Rain,Paper Lanterns,artist_context,"Paper Lanterns is a fictional lofi project in this catalog focused on gentle loops, soft ambience, and calm study sessions.","local fictional catalog notes"
8,4,Library Rain,Paper Lanterns,listening_context,"Library Rain is a strong chill-acoustic recommendation because its energy is low and its acousticness is very high.","local fictional catalog notes"
9,5,Gym Hero,Max Pulse,listening_context,"Gym Hero fits workout-style pop profiles because it combines intense mood, high danceability, and very high energy.","local fictional catalog notes"
10,6,Spacewalk Thoughts,Orbit Bloom,listening_context,"Spacewalk Thoughts leans ambient and reflective, with low energy and high acousticness for calm listening.","local fictional catalog notes"
11,7,Coffee Shop Stories,Slow Stereo,listening_context,"Coffee Shop Stories works for relaxed acoustic listening because it has a mellow jazz mood and warm instrumentation.","local fictional catalog notes"
12,8,Night Drive Loop,Neon Echo,listening_context,"Night Drive Loop gives Neon Echo a moodier synthwave lane with mid-high energy and a late-night feel.","local fictional catalog notes"
13,9,Focus Flow,LoRoom,listening_context,"Focus Flow is the clearest focused lofi track in the catalog because it balances steady energy, acousticness, and low distraction.","local fictional catalog notes"
14,10,Rooftop Lights,Indigo Parade,listening_context,"Rooftop Lights is a bright indie-pop option with happy mood, high danceability, and a less acoustic sound.","local fictional catalog notes"
15,11,Golden Hour Drive,Saffron Skies,listening_context,"Golden Hour Drive fits nostalgic country profiles with medium energy and a warmer acoustic blend.","local fictional catalog notes"
16,12,Basement Cipher,Velvet Static,listening_context,"Basement Cipher is a confident hip hop track with high danceability and less-acoustic production.","local fictional catalog notes"
17,13,Cathedral Echoes,North Abbey,listening_context,"Cathedral Echoes is the catalog's peaceful classical track, using low energy and high acousticness for quiet reflection.","local fictional catalog notes"
18,14,Tidal Parade,Island Assembly,listening_context,"Tidal Parade supports uplifting reggae recommendations with medium energy, high valence, and a rhythmic feel.","local fictional catalog notes"
19,15,Iron Anthem,Black Meridian,listening_context,"Iron Anthem is the catalog's heaviest metal track, with rebellious mood, the highest tempo, and almost no acoustic texture.","local fictional catalog notes"
20,16,Porchlight Letters,Willow Thread,listening_context,"Porchlight Letters is a tender folk track that works for low-energy acoustic profiles even when the requested genre differs.","local fictional catalog notes"
21,17,Neon Festival,Luma Pulse,listening_context,"Neon Festival is the strongest euphoric EDM option because it has very high energy, danceability, and valence.","local fictional catalog notes"
22,18,Blue Velvet Room,Marble June,listening_context,"Blue Velvet Room is a romantic R&B recommendation with moderate energy, soft groove, and balanced acousticness.","local fictional catalog notes"
